time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445500000	13.2877	2.30986	5.16202	0.358535	0.195712	lidar	2.76619	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4718	2.4381	5.04135	0.389759	0.219008	radar	11.4205	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7215	2.55707	5.07262	0.407017	0.225035	lidar	0.940115	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9429	2.66255	5.04575	0.421505	0.228852	radar	0.312258	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1728	2.81569	5.0704	0.450602	0.246025	lidar	1.0472	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4221	2.92407	5.13578	0.45705	0.238371	radar	1.24484	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.627	3.00744	5.08875	0.460748	0.230557	lidar	1.9809	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8598	3.15258	5.14333	0.481105	0.23785	radar	3.99337	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0696	3.34135	5.16281	0.519702	0.26402	lidar	1.83603	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2843	3.49514	5.13818	0.544457	0.276982	radar	2.94394	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4988	3.68559	5.16928	0.578536	0.296705	lidar	1.29888	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7113	3.81503	5.15037	0.589574	0.293451	radar	0.799068	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9308	3.9693	5.16482	0.606504	0.295576	lidar	0.168575	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1296	4.12272	5.10803	0.628263	0.305504	radar	2.01958	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3273	4.32264	5.13613	0.661109	0.322566	lidar	0.92746	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5382	4.48199	5.1489	0.675426	0.320574	radar	0.539887	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7151	4.65841	5.13581	0.700088	0.329115	lidar	0.680112	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8744	4.83629	5.02484	0.733868	0.352715	radar	5.25454	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0398	5.06608	5.05653	0.774488	0.37494	lidar	1.44524	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2114	5.22995	5.01336	0.792356	0.376281	radar	1.66134	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3687	5.42149	5.00724	0.818194	0.383156	lidar	0.354322	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5265	5.58515	4.94829	0.836433	0.385176	radar	3.17508	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7129	5.72608	4.92623	0.837478	0.367685	lidar	0.960829	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
